id,status,category,flag,priority
0,Active,9,0,5
1,Inactive,5,0,3
2,Active,2,0,1
3,Active,1,0,5
4,Active,5,1,4
5,Pending,7,1,3
6,Inactive,8,0,5
7,Inactive,8,1,2
8,Active,4,1,4
9,Inactive,8,0,5
10,Active,9,1,2
11,Pending,0,0,3
12,Active,3,1,1
13,Active,6,0,1
14,Pending,3,1,1
15,Active,5,1,5
16,Active,7,1,1
17,Active,2,1,3
18,Active,1,1,5
19,Pending,9,1,2
20,Pending,9,1,5
21,Pending,3,0,1
22,Active,4,0,4
23,Pending,3,0,5
24,Active,0,1,2
25,Inactive,4,0,1
26,Active,3,0,4
27,Pending,5,1,1
28,Active,8,1,4
29,Active,4,0,2
30,Active,6,0,1
31,Inactive,9,0,2
32,Active,7,0,3
33,Inactive,4,0,2
34,Pending,5,0,1
35,Pending,8,1,5
36,Pending,6,0,1
37,Inactive,6,0,5
38,Active,2,1,1
39,Active,8,1,4
40,Pending,1,1,1
41,Active,9,0,5
42,Pending,3,0,1
43,Inactive,5,1,3
44,Inactive,7,0,4
45,Active,4,0,1
46,Pending,1,0,5
47,Active,9,0,2
48,Active,9,0,3
49,Pending,3,1,5
50,Inactive,5,0,2
51,Active,8,1,1
52,Inactive,7,1,3
53,Active,1,1,5
54,Inactive,2,1,5
55,Active,7,0,2
56,Inactive,7,0,1
57,Inactive,5,0,2
58,Inactive,0,0,1
59,Inactive,7,1,1
60,Active,8,1,3
61,Active,7,0,5
62,Inactive,9,1,4
63,Active,0,1,4
64,Inactive,3,1,2
65,Active,4,0,2
66,Active,3,0,4
67,Active,8,0,4
68,Active,2,0,4
69,Active,0,0,2
70,Inactive,4,0,1
71,Active,1,0,4
72,Inactive,1,1,5
73,Inactive,5,1,5
74,Inactive,6,0,2
75,Active,8,0,4
76,Pending,9,0,1
77,Inactive,3,1,5
78,Pending,4,0,3
79,Active,7,0,2
80,Inactive,1,1,2
81,Pending,3,1,3
82,Pending,1,1,3
83,Active,5,0,1
84,Active,7,1,5
85,Active,9,1,5
86,Active,8,1,2
87,Inactive,2,0,4
88,Active,4,0,3
89,Inactive,4,1,4
90,Pending,0,0,4
91,Pending,1,1,5
92,Pending,7,1,1
93,Inactive,4,1,3
94,Active,5,0,5
95,Active,4,0,5
96,Pending,5,1,4
97,Active,1,1,1
98,Active,0,0,5
99,Inactive,9,1,2
100,Active,6,0,3
101,Active,3,1,5
102,Active,1,0,3
103,Active,6,1,2
104,Inactive,2,1,1
105,Inactive,7,1,4
106,Pending,3,0,2
107,Inactive,1,1,1
108,Active,7,0,1
109,Pending,1,1,3
110,Inactive,6,1,3
111,Pending,4,1,3
112,Pending,5,0,2
113,Pending,5,1,3
114,Active,2,0,3
115,Inactive,7,1,4
116,Active,4,1,2
117,Inactive,6,0,4
118,Active,0,0,5
119,Active,0,1,4
120,Inactive,8,1,2
121,Active,2,0,1
122,Inactive,6,0,5
123,Active,5,0,1
124,Active,8,1,1
125,Active,2,0,5
126,Pending,4,1,2
127,Inactive,5,0,5
128,Active,6,0,5
129,Active,1,1,2
130,Active,9,1,1
131,Inactive,6,1,2
132,Pending,7,0,1
133,Active,9,0,4
134,Inactive,7,1,5
135,Inactive,3,0,5
136,Active,9,1,3
137,Inactive,3,0,4
138,Pending,8,0,3
139,Inactive,6,0,4
140,Active,9,1,5
141,Active,6,1,3
142,Active,6,0,4
143,Active,2,0,4
144,Active,6,1,4
145,Active,2,0,3
146,Inactive,6,0,2
147,Active,5,0,2
148,Active,8,1,2
149,Active,5,1,3
150,Pending,3,0,3
151,Active,6,0,1
152,Pending,9,0,1
153,Active,0,0,2
154,Active,8,1,2
155,Pending,0,0,3
156,Inactive,7,0,5
157,Pending,2,0,4
158,Active,6,0,4
159,Active,0,0,1
160,Pending,5,0,1
161,Active,1,0,1
162,Active,2,1,1
163,Pending,7,0,3
164,Active,7,1,1
165,Active,4,0,2
166,Pending,0,1,1
167,Active,1,1,2
168,Pending,4,0,2
169,Pending,7,0,2
170,Active,5,0,1
171,Active,5,1,4
172,Pending,6,1,5
173,Pending,5,1,3
174,Active,5,0,1
175,Active,8,0,4
176,Active,2,1,4
177,Inactive,3,0,5
178,Inactive,3,0,3
179,Inactive,9,0,3
180,Pending,4,0,4
181,Inactive,6,1,3
182,Active,4,1,3
183,Inactive,6,0,5
184,Active,6,1,1
185,Inactive,9,0,5
186,Active,6,1,4
187,Inactive,0,1,2
188,Inactive,5,1,3
189,Active,8,1,4
190,Inactive,2,0,1
191,Active,8,0,3
192,Pending,1,1,2
193,Active,7,0,2
194,Inactive,4,1,5
195,Pending,1,1,1
196,Pending,0,0,3
197,Active,4,1,5
198,Active,6,0,2
199,Pending,6,1,1
200,Pending,8,1,4
201,Pending,8,0,5
202,Pending,8,1,5
203,Active,0,1,2
204,Active,9,1,5
205,Inactive,8,0,3
206,Active,4,1,1
207,Pending,9,1,5
208,Inactive,2,1,5
209,Pending,3,0,2
210,Inactive,1,0,1
211,Active,5,1,1
212,Active,6,1,1
213,Active,4,1,2
214,Active,5,1,5
215,Active,2,1,5
216,Active,0,0,2
217,Inactive,1,0,3
218,Active,7,0,4
219,Active,0,1,4
220,Active,2,0,1
221,Inactive,2,1,5
222,Inactive,5,1,3
223,Inactive,4,0,4
224,Active,4,1,4
225,Active,6,1,2
226,Active,2,0,5
227,Active,1,0,2
228,Pending,8,0,5
229,Inactive,2,0,4
230,Inactive,0,1,5
231,Inactive,0,0,2
232,Inactive,2,1,1
233,Pending,3,1,3
234,Active,8,1,5
235,Pending,4,1,3
236,Pending,9,0,1
237,Inactive,5,1,2
238,Active,5,1,2
239,Inactive,1,0,2
240,Active,0,1,5
241,Active,0,0,4
242,Inactive,7,0,2
243,Active,6,1,2
244,Active,9,0,4
245,Active,7,1,3
246,Pending,0,0,5
247,Inactive,7,0,3
248,Active,2,1,4
249,Inactive,0,0,5
250,Inactive,0,0,5
251,Inactive,9,0,5
252,Active,7,0,4
253,Active,7,0,3
254,Active,1,0,2
255,Pending,0,1,3
256,Inactive,4,0,1
257,Pending,4,0,3
258,Pending,3,1,1
259,Active,2,0,4
260,Active,0,1,2
261,Inactive,2,0,2
262,Active,1,1,3
263,Active,8,0,2
264,Active,3,1,3
265,Inactive,6,0,4
266,Inactive,9,1,2
267,Pending,4,0,1
268,Inactive,9,0,2
269,Inactive,3,0,2
270,Active,0,1,5
271,Active,7,1,3
272,Active,8,1,2
273,Active,3,1,3
274,Active,1,0,1
275,Active,8,0,5
276,Inactive,0,0,5
277,Active,5,1,3
278,Pending,5,1,1
279,Active,5,0,2
280,Pending,0,1,5
281,Pending,0,0,4
282,Active,9,1,1
283,Inactive,3,0,4
284,Pending,6,1,3
285,Pending,0,0,1
286,Inactive,8,0,4
287,Inactive,5,0,2
288,Inactive,7,1,5
289,Inactive,7,1,1
290,Active,5,1,4
291,Active,1,0,5
292,Inactive,7,1,2
293,Active,0,0,3
294,Active,3,0,3
295,Pending,4,0,5
296,Active,5,1,2
297,Active,2,1,3
298,Inactive,7,1,4
299,Active,7,1,2
300,Inactive,8,1,3
301,Active,4,0,1
302,Inactive,8,0,1
303,Active,6,1,5
304,Active,2,1,5
305,Pending,2,1,4
306,Pending,1,1,5
307,Active,5,1,3
308,Inactive,0,0,2
309,Active,3,1,4
310,Inactive,0,1,5
311,Inactive,3,1,3
312,Active,7,0,3
313,Active,2,1,5
314,Pending,9,1,4
315,Inactive,1,1,5
316,Inactive,8,1,1
317,Inactive,8,1,3
318,Active,2,0,2
319,Active,1,0,4
320,Active,2,0,3
321,Pending,7,1,5
322,Pending,8,0,3
323,Inactive,1,0,4
324,Active,0,1,5
325,Active,8,0,4
326,Pending,8,0,4
327,Inactive,7,1,5
328,Active,8,1,4
329,Pending,9,1,2
330,Inactive,6,1,2
331,Active,1,1,4
332,Active,5,1,5
333,Inactive,5,1,2
334,Pending,8,1,2
335,Pending,7,1,5
336,Inactive,3,0,4
337,Inactive,7,1,3
338,Active,2,0,3
339,Active,1,0,1
340,Inactive,7,0,5
341,Active,2,1,1
342,Active,0,1,4
343,Active,0,1,2
344,Pending,6,1,5
345,Active,0,0,1
346,Active,8,0,5
347,Active,3,0,5
348,Inactive,7,1,5
349,Active,4,0,4
350,Active,3,0,5
351,Active,3,1,1
352,Pending,3,1,3
353,Inactive,0,0,4
354,Active,5,1,1
355,Inactive,1,0,5
356,Active,3,0,5
357,Active,7,0,1
358,Active,1,1,2
359,Active,4,1,5
360,Pending,0,1,2
361,Active,6,0,3
362,Pending,4,1,3
363,Inactive,5,0,2
364,Pending,6,0,5
365,Active,3,1,3
366,Active,3,1,4
367,Active,7,0,2
368,Active,4,0,5
369,Active,0,0,3
370,Active,1,1,5
371,Inactive,8,0,3
372,Inactive,0,1,4
373,Active,1,1,1
374,Inactive,2,1,5
375,Pending,9,0,5
376,Inactive,0,1,5
377,Active,0,1,4
378,Active,5,1,5
379,Inactive,8,1,3
380,Active,0,1,5
381,Active,4,0,1
382,Active,5,1,4
383,Active,5,0,2
384,Active,3,0,5
385,Active,9,1,4
386,Active,4,1,2
387,Inactive,3,1,2
388,Pending,2,0,1
389,Inactive,6,0,2
390,Active,4,1,4
391,Active,7,1,5
392,Inactive,0,1,1
393,Pending,5,1,2
394,Inactive,5,1,2
395,Inactive,3,1,2
396,Active,5,0,5
397,Active,0,1,2
398,Active,5,0,1
399,Pending,4,1,5
400,Active,7,1,2
401,Pending,2,0,3
402,Inactive,8,1,5
403,Inactive,9,0,5
404,Pending,2,0,2
405,Pending,9,1,1
406,Pending,0,0,1
407,Active,4,1,5
408,Active,4,0,5
409,Active,2,0,5
410,Active,1,1,4
411,Active,9,0,5
412,Pending,1,0,5
413,Active,3,0,3
414,Active,8,1,2
415,Inactive,4,0,4
416,Active,8,1,1
417,Pending,2,0,2
418,Active,9,1,2
419,Inactive,5,0,3
420,Active,8,0,1
421,Active,0,1,4
422,Inactive,0,0,1
423,Active,3,0,4
424,Inactive,9,1,3
425,Inactive,4,1,5
426,Pending,4,0,3
427,Active,5,1,4
428,Pending,2,1,1
429,Pending,5,1,1
430,Inactive,3,0,1
431,Active,3,0,5
432,Pending,8,0,4
433,Pending,4,1,2
434,Inactive,5,1,2
435,Inactive,2,0,4
436,Pending,7,1,3
437,Active,5,0,2
438,Active,0,0,3
439,Inactive,8,1,1
440,Active,2,1,3
441,Active,4,0,5
442,Active,4,1,2
443,Inactive,8,0,5
444,Active,7,1,5
445,Inactive,3,0,3
446,Inactive,1,1,1
447,Pending,2,1,1
448,Active,4,0,5
449,Pending,1,0,4
450,Active,5,1,5
451,Active,7,0,5
452,Pending,1,1,4
453,Pending,5,1,3
454,Pending,7,0,2
455,Pending,2,0,3
456,Inactive,7,1,1
457,Inactive,3,1,5
458,Active,2,1,5
459,Active,3,0,5
460,Pending,1,1,4
461,Inactive,2,0,2
462,Active,6,1,5
463,Pending,6,0,5
464,Inactive,7,1,4
465,Active,3,0,4
466,Inactive,5,0,5
467,Active,3,0,5
468,Inactive,0,1,1
469,Pending,1,0,2
470,Active,4,1,5
471,Inactive,6,1,5
472,Active,0,0,2
473,Inactive,4,0,1
474,Active,4,0,3
475,Pending,4,0,3
476,Inactive,7,1,1
477,Active,9,0,2
478,Inactive,0,1,3
479,Active,1,0,4
480,Inactive,5,0,3
481,Inactive,7,1,3
482,Pending,7,0,2
483,Pending,7,0,1
484,Pending,5,0,5
485,Active,4,0,4
486,Pending,3,1,2
487,Inactive,3,0,2
488,Inactive,2,1,2
489,Active,7,0,5
490,Active,7,0,4
491,Active,7,1,5
492,Active,2,0,2
493,Inactive,0,1,3
494,Inactive,5,1,4
