agg_column,baseline_agg_result,baseline_build_time,baseline_bytes,baseline_count,baseline_time,bitmap_build_time,bitmap_bytes,bitmap_cardinality,bitmap_count,bitmap_mismatch,bitmap_time,bitslice_bit_width,bitslice_build_time,bitslice_bytes,bitslice_count,bitslice_mismatch,bitslice_time,bitweave_bit_width,bitweave_build_time,bitweave_bytes,bitweave_count,bitweave_mismatch,bitweave_time,column,dataset,delta_build_time,delta_bytes,delta_compression_ratio,delta_count,delta_time,dict_agg_result,dict_build_time,dict_bytes,dict_cardinality,dict_count,dict_segments_skipped,dict_time,imprints_build_time,imprints_bytes,imprints_count,imprints_false_neg,imprints_false_pos,imprints_segments_pruned,imprints_time,n_rows,operator,query_type,rle_agg_result,rle_build_time,rle_bytes,rle_compression_ratio,rle_count,rle_run_count,rle_speedup,rle_time,selectivity,value,zonemap_agg_result,zonemap_build_time,zonemap_bytes,zonemap_count,zonemap_mismatch,zonemap_segments_skipped,zonemap_skip_ratio,zonemap_time
,,2.0829029381275177e-06,8128964,27257,0.03613114356994629,,,,,,,,,,,,,6,2.9454142921604216,750000,27257,0,0.3232040829025209,cluster_id,clustered,0.20381679199635983,168628,47.441706003747896,27257,0.005437791813164949,,0.2169725000858307,8000890,0,27257,947,0.0004934589378535748,0.7331033749505877,7816,27257,0,0,947,0.0007045832462608814,1000000,=,equality,,1.2801756248809397,25392,1.0,27257,0,,2.6941299438476562e-05,0.027257,25,,1.708976924419403e-06,23448,27257,0,947,0.9692937563971341,0.0041658878326416016
,,3.082677721977234e-06,8128964,124163,0.038874149322509766,,,,,,,6,0.02333933301270008,6000000,124163,0,0.0008043749257922173,6,2.897638250142336,750000,124163,0,0.32210583379492164,cluster_id,clustered,0.20533399982377887,168628,47.441706003747896,33044,0.006276583299040794,,0.2159675001166761,8000890,0,33044,941,0.0005069999024271965,0.7389005408622324,7816,124163,0,0,854,0.002155750058591366,1000000,<,selective_range,,1.2738834167830646,25392,1.0,33044,0,,2.6226043701171875e-05,0.124163,5,,2.0829029381275177e-06,23448,124163,0,854,0.8741044012282497,0.008840799331665039
,,2.5406479835510254e-06,8128964,705649,0.04334211349487305,,,,,,,,,,,,,6,2.968980250414461,750000,705649,0,0.35139712505042553,cluster_id,clustered,0.20233991602435708,168628,47.441706003747896,34081,0.006248041987419128,,0.23290758300572634,8000890,0,34081,941,0.0005320003256201744,0.7648750408552587,7816,705649,0,0,287,0.01103683328256011,1000000,>,nonselective_range,,1.2708689589053392,25392,1.0,34081,0,,2.5033950805664062e-05,0.705649,10,,2.3748725652694702e-06,23448,705649,0,287,0.2937563971340839,0.03621506690979004
,,2.624932676553726e-06,8128964,100205,0.03969001770019531,,,,,,,24,0.02665862487629056,24000000,100205,0,0.003139583393931389,24,12.135763917118311,3000000,100205,0,0.32950745802372694,sorted_value,clustered,0.5600327081046999,897761,8.911057620012453,0,0.0006540422327816486,,0.5371490833349526,29783035,0,0,0,1.2917444109916687e-06,0.7611825000494719,7816,100205,0,0,879,0.0017222501337528229,1000000,<,sorted_range,,2.5246109580621123,22841664,1.0,0,0,,0.02625274658203125,0.100205,1000000,,1.4579854905605316e-06,23448,100205,0,879,0.8996929375639714,0.007112026214599609
,,0.0,8128964.0,175239,0.13461454212665558,,,,,,,,,,,,,,,,175239,0,7.068101542070508,cluster_id AND region,clustered,,,,,,,,,,,,,,,,,,,,1000000,> AND <,and_predicate,,,,,,,,,0.175239,25 AND 50,,,,175239,0,,0.5875127942681678,0.08718370832502842
random_noise,13606026.0,0.0,8128964,27257,0.0589738329872489,,,,,,,,,,,,,,,,,,,cluster_id,clustered,,,,,,13606026.0,,,,,,0.22099366690963507,,,,,,,,1000000,=,aggregation_sum,,,,,,,,,0.027257,25,13606026.0,,,27257,,,,0.02699054218828678
,,1.3746321201324463e-06,8128964,99821,0.04023289680480957,0.0031471671536564827,10000000,10,99821,0,0.00340083334594965,,,,,,,4,1.923998708371073,500000,99821,0,0.3269532499834895,category,low_cardinality,0.46524791698902845,667988,11.976263046641556,99821,0.3357498752884567,,0.21630395902320743,8000170,0,99821,0,0.00464083394035697,0.7388719585724175,7816,99821,0,0,0,0.007442832924425602,1000000,=,equality,,2.453517916146666,21606168,1.0,99821,0,,0.020267009735107422,0.099821,5,,1.9166618585586548e-06,23448,99821,0,0,0.0,0.03378605842590332
,,2.624932676553726e-06,8128964,200196,0.04013204574584961,,,,,,,4,0.01508545782417059,4000000,200196,0,0.0005596671253442764,4,1.9154785829596221,500000,200196,0,0.3278344161808491,category,low_cardinality,0.4579956247471273,667988,11.976263046641556,100296,0.322460874915123,,0.21465816674754024,8000170,0,100296,0,0.004504708107560873,0.7347056670114398,7816,200196,0,0,0,0.00836316728964448,1000000,<,selective_range,,2.4227451658807695,21606168,1.0,100296,0,,0.020572900772094727,0.200196,2,,1.3336539268493652e-06,23448,200196,0,0,0.0,0.0375521183013916
,,2.3329630494117737e-06,8128964,599983,0.04766416549682617,,,,,,,,,,,,,4,1.9389342917129397,500000,599983,0,0.34325658390298486,category,low_cardinality,0.46571733383461833,667988,11.976263046641556,99525,0.32249991595745087,,0.21504183299839497,8000170,0,99525,0,0.004827958066016436,0.73025954188779,7816,599983,0,0,0,0.013122791890054941,1000000,>,nonselective_range,,2.454471167176962,21606168,1.0,99525,0,,0.02147197723388672,0.599983,3,,1.9157305359840393e-06,23448,599983,0,0,0.0,0.0457000732421875
,,2.2496096789836884e-06,8128964,500185,0.05270195007324219,0.002023375127464533,2000000,2,500185,0,0.00916129071265459,,,,,,,1,0.5284891668707132,125000,500185,0,0.33951991656795144,flag,low_cardinality,0.27565141720697284,292988,27.30487255450735,500185,0.21148870792239904,,0.218298208899796,8000034,0,500185,0,0.04047137498855591,0.7402654159814119,7816,500185,0,0,0,0.010927458293735981,1000000,=,binary_equality,,1.9269717917777598,12008664,1.0,500185,0,,0.012837886810302734,0.500185,1,,1.9581057131290436e-06,23448,500185,0,0,0.0,0.04389810562133789
