agg_column,baseline_agg_result,baseline_build_time,baseline_bytes,baseline_count,baseline_time,bitmap_build_time,bitmap_bytes,bitmap_cardinality,bitmap_count,bitmap_mismatch,bitmap_time,bitslice_bit_width,bitslice_build_time,bitslice_bytes,bitslice_count,bitslice_mismatch,bitslice_time,bitweave_bit_width,bitweave_build_time,bitweave_bytes,bitweave_count,bitweave_mismatch,bitweave_time,column,dataset,delta_build_time,delta_bytes,delta_compression_ratio,delta_count,delta_time,dict_agg_result,dict_build_time,dict_bytes,dict_cardinality,dict_count,dict_segments_skipped,dict_time,imprints_build_time,imprints_bytes,imprints_count,imprints_false_neg,imprints_false_pos,imprints_segments_pruned,imprints_time,n_rows,operator,query_type,rle_agg_result,rle_build_time,rle_bytes,rle_compression_ratio,rle_count,rle_run_count,rle_speedup,rle_time,selectivity,value,zonemap_agg_result,zonemap_build_time,zonemap_bytes,zonemap_count,zonemap_mismatch,zonemap_segments_skipped,zonemap_skip_ratio,zonemap_time
,,3.7918798625469208e-06,8128964,27257,0.037010908126831055,,,,,,,,,,,,,6,3.029822292,750000,27257,0,0.3269132077693939,cluster_id,clustered,0.22777237510308623,168628,47.441706003747896,27257,0.005358583,,0.22567683272063732,8000890,0,27257,947,0.000466667,0.753537,7816,27257,0,0,947,0.00077525,1000000,=,equality,,1.311298165936023,25392,1,27257,0,,3.075599670410156e-05,0.027257,25,,2.625398337841034e-06,23448,27257,0,947,0.9692937563971341,0.005558014
,,2.582557499408722e-06,8128964,124163,0.035903931,,,,,,,6,0.018790332600474358,6000000,124163,0,0.000773125,6,2.9695883337408304,750000,124163,0,0.33046574983745813,cluster_id,clustered,0.20238408260047436,168628,47.441706003747896,33044,0.006378791,,0.22461795806884766,8000890,0,33044,941,0.000501625,0.745700083,7816,124163,0,0,854,0.002293625,1000000,<,selective_range,,1.280470292083919,25392,1,33044,0,,2.5987625122070312e-05,0.124163,5,,2.250075340270996e-06,23448,124163,0,854,0.8741044012282497,0.011150836944580078
,,2.291053533554077e-06,8128964,705649,0.046714783,,,,,,,,,,,,,6,2.9795658327639103,750000,705649,0,0.3549432922154665,cluster_id,clustered,0.2063710829243064,168628,47.441706003747896,34081,0.006397833,,0.23781187506392598,8000890,0,34081,941,0.000508584,0.7570211254060268,7816,705649,0,0,287,0.011185375042259693,1000000,>,nonselective_range,,1.2744111251085997,25392,1,34081,0,,2.47955322265625e-05,0.705649,10,,1.8337741494178772e-06,23448,705649,0,287,0.2937563971340839,0.037108898
,,2.4172477424144745e-06,8128964,100205,0.040569067,,,,,,,24,0.025397875,24000000,100205,0,0.002730625,24,12.270372541155666,3000000,100205,0,0.33103237487375736,sorted_value,clustered,0.5471436246298254,897761,8.911057620012453,0,0.001663166,,0.5492472080513835,29783035,0,0,0,1.7504207789897919e-06,0.7830056669190526,7816,100205,0,0,879,0.001783042,1000000,<,sorted_range,,2.529968125279993,22841664,1,0,0,,0.025522232055664062,0.100205,1000000,,1.9581057131290436e-06,23448,100205,0,879,0.8996929375639714,0.0071702
,,0,8000000,175239,0.13416791707277298,,,,,,,,,,,,,,,,175239,0,7.203163334168494,cluster_id AND region,clustered,,,,,,,,,,,,,,,,,,,,1000000,> AND <,and_predicate,,,,,,,,,0.175239,25 AND 50,,,,175239,0,,0.5875127942681678,0.09558075
random_noise,13606026,0,8000000,27257,0.060448208,,,,,,,,,,,,,,,,,,,cluster_id,clustered,,,,,,13606026,0,,,,,0.22536162473261356,,,,,,,,1000000,=,aggregation_sum,,,,,,,,,0.027257,25,13606026,,,27257,,,,0.027271833270788193
,,1.7080456018447876e-06,8128964,99821,0.041321993,0.00339125,10000000,10,99821,0,0.00343075,,,,,,,4,1.946853082627058,500000,99821,0,0.32816637493669987,category,low_cardinality,0.45841754227876663,667988,11.976263046641556,99821,0.3234515003859997,,0.22408212488517165,8000170,0,99821,0,0.004852084,0.7498520417138934,7816,99821,0,0,0,0.007601417,1000000,=,equality,,2.5256670000962913,21606168,1,99821,0,,0.020293951,0.099821,5,,1.666136085987091e-06,23448,99821,0,0,0,0.037910938
,,2.2081658244132996e-06,8128964,200196,0.040452003479003906,,,,,,,4,0.014715333003550768,4000000,200196,0,0.000449209,4,1.9511316251009703,500000,200196,0,0.3389491247944534,category,low_cardinality,0.4507708749733865,667988,11.976263046641556,100296,0.33610875019803643,,0.2233471660874784,8000170,0,100296,0,0.004518459,0.7534597497433424,7816,200196,0,0,0,0.008215875,1000000,<,selective_range,,2.4375185002572834,21606168,1,100296,0,,0.019179105758666992,0.200196,2,,1.4170072972774506e-06,23448,200196,0,0,0,0.037221909
,,2.00001522898674e-06,8128964,599983,0.048275948,,,,,,,,,,,,,4,1.9463276658207178,500000,599983,0,0.35232937475666404,category,low_cardinality,0.45168358320370317,667988,11.976263046641556,99525,0.32875804184004664,,0.22392416698858142,8000170,0,99525,0,0.0045125,0.7506585,7816,599983,0,0,0,0.011856584344059229,1000000,>,nonselective_range,,2.4761403338052332,21606168,1,99525,0,,0.021801949,0.599983,3,,2.4172477424144745e-06,23448,599983,0,0,0,0.051749945
,,3.375113010406494e-06,8128964,500185,0.053128242,0.002141083,2000000,2,500185,0,0.009139583,,,,,,,1,0.5433850833214819,125000,500185,0,0.35114462533965707,flag,low_cardinality,0.2754409587942064,292988,27.30487255450735,500185,0.21421333402395248,,0.2231895406730473,8000034,0,500185,0,0.041931625,0.7526654577814043,7816,500185,0,0,0,0.010728792287409306,1000000,=,binary_equality,,1.9510035002604127,12008664,1,500185,0,,0.011807918548583984,0.500185,1,,2.2081658244132996e-06,23448,500185,0,0,0,0.046024084
